place_id	place_name	day	hour	movement
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	9	0.54
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	10	0.78
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	11	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	13	0.97
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	14	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	15	0.91
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	16	0.94
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	17	0.9
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	18	0.78
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	19	0.54
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	20	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	21	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	22	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Tuesday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	1	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	9	0.52
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	10	0.75
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	11	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	13	0.98
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	14	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	15	0.9
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	16	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	17	0.9
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	18	0.78
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	19	0.53
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	20	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	21	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	22	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Wednesday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	1	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	9	0.53
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	10	0.77
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	11	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	13	0.96
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	14	0.89
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	15	0.87
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	16	0.87
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	17	0.84
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	18	0.72
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	19	0.51
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	20	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	21	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	22	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Thursday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	1	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	9	0.49
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	10	0.73
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	11	0.91
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	13	0.97
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	14	0.9
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	15	0.88
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	16	0.89
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	17	0.87
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	18	0.75
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	19	0.53
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	20	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	21	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	22	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Friday	23	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	0	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	1	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	2	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	3	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	4	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	5	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	6	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	7	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	8	0.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	9	0.49
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	10	0.75
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	11	0.94
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	12	1.0
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	13	0.93
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	14	0.84
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	15	0.79
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	16	0.76
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	17	0.72
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	18	0.6
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	19	0.43
ChIJkWTo6uLgYY0RMAORtzsC4FU	Villa Nova Shopping	Saturday	20	0.0
